Edad Simple;Provincias;Sexo;Periodo;Total
3 años;01 Araba/Álava;Mujeres;1 de julio de 2021;1.404,500000
3 años;33 Asturias;Hombres;1 de julio de 2021;3.194,500000
3 años;33 Asturias;Mujeres;1 de julio de 2021;2.940,000000
3 años;05 Ávila;Hombres;1 de julio de 2021;559,000000
3 años;05 Ávila;Mujeres;1 de julio de 2021;531,000000
3 años;06 Badajoz;Hombres;1 de julio de 2021;2.857,000000
3 años;06 Badajoz;Mujeres;1 de julio de 2021;2.683,000000
3 años;07 Balears, Illes;Hombres;1 de julio de 2021;5.524,000000
3 años;07 Balears, Illes;Mujeres;1 de julio de 2021;5.214,500000
3 años;08 Barcelona;Hombres;1 de julio de 2021;25.476,500000
3 años;08 Barcelona;Mujeres;1 de julio de 2021;23.982,000000
3 años;48 Bizkaia;Hombres;1 de julio de 2021;4.344,500000
3 años;48 Bizkaia;Mujeres;1 de julio de 2021;4.113,000000
3 años;09 Burgos;Hombres;1 de julio de 2021;1.301,000000
3 años;09 Burgos;Mujeres;1 de julio de 2021;1.225,500000
3 años;10 Cáceres;Hombres;1 de julio de 2021;1.401,500000
3 años;10 Cáceres;Mujeres;1 de julio de 2021;1.340,500000
3 años;11 Cádiz;Hombres;1 de julio de 2021;5.662,500000
3 años;11 Cádiz;Mujeres;1 de julio de 2021;5.253,500000
3 años;39 Cantabria;Hombres;1 de julio de 2021;2.112,500000
3 años;39 Cantabria;Mujeres;1 de julio de 2021;2.041,500000
3 años;12 Castellón/Castelló;Hombres;1 de julio de 2021;2.596,000000
3 años;12 Castellón/Castelló;Mujeres;1 de julio de 2021;2.384,000000
3 años;13 Ciudad Real;Hombres;1 de julio de 2021;2.069,000000
3 años;13 Ciudad Real;Mujeres;1 de julio de 2021;1.886,000000
3 años;14 Córdoba;Hombres;1 de julio de 2021;3.340,500000
3 años;14 Córdoba;Mujeres;1 de julio de 2021;3.103,500000
3 años;15 Coruña, A;Hombres;1 de julio de 2021;4.010,000000
3 años;15 Coruña, A;Mujeres;1 de julio de 2021;3.771,000000
3 años;16 Cuenca;Hombres;1 de julio de 2021;717,000000
3 años;16 Cuenca;Mujeres;1 de julio de 2021;707,000000
3 años;20 Gipuzkoa;Hombres;1 de julio de 2021;2.937,500000
3 años;20 Gipuzkoa;Mujeres;1 de julio de 2021;2.725,500000
